window_score,pass_speed,receivedPlayerId_PassLength,pressure_level_num,pressure_direction_num,pass_area_num,pass_direction_num,xT_change,opp_in_path,avg_opp_dist_to_path,angle_pass_vs_nearest_opp,human_label
0.492966667,7.5,11.66,2,1,2,2,-0.01,0,,13.72229713,0
0.275142699,2.36570794,25.18,0,1,1,1,0.002,0,31.26925812,132.8349709,0
0.931019662,7.603453163,14.32,2,0,1,1,0.103,0,30.81893915,102.0947571,1
0.270212655,2.808506202,40.48,0,1,2,0,-0.001,1,18.84440738,35.84829573,0
0.431067601,8.528037383,5.09,2,1,1,1,0,1,,35.0047808,0
0.41875,8.75,23.6,0,0,1,1,-0.002,4,9.865691307,27.05059701,0
0.106386469,0.420792079,7.19,0,1,2,0,-0.005,0,,90.96310692,0
0.669877124,2.795084972,17.46,0,1,2,1,0.075,0,50.26122479,78.79656513,1
0.707466667,5,8.06,1,0,2,0,0.135,0,21.78402548,172.8749837,1
0.697966667,7.5,8.06,1,0,2,0,0.041,1,21.2781911,139.1849161,1
0.525,16.25,33.24,1,0,2,0,-0.014,3,17.90141197,33.4762783,0
0.649759556,1.990382227,29.31,0,0,1,2,0.251,4,,171.4495746,1
0.674,16.65981647,19.7,0,0,1,0,0.028,0,,117.2098113,1
0.712,16.71070598,56.24,2,0,1,2,0.014,9,9.137339215,88.41415888,1
0.25155451,3.952847075,5.83,1,0,2,1,-0.033,0,24.01868432,130.6012946,0
0.328673477,4.506939094,33.54,0,0,1,1,0.002,3,10.44052424,34.69515353,0
0.257943791,2.795084972,7.28,1,0,2,2,0.002,1,19.68440413,110.9245017,0
0.376255014,3.535533906,8.54,2,0,2,1,0.003,1,,69.44395478,1
0.321483333,3.75,5.83,2,1,2,2,-0.033,1,17.85784535,120.9637565,0
0.608,11.31923142,18.97,2,0,2,2,0.001,1,27.35431336,108.4349488,0
0.469598878,3.503955132,42.17,2,1,2,2,0.004,4,21.47465892,25.01058328,1
0.057901858,0.934741006,2.59,0,0,2,0,0,0,,84.55367723,0
0.817183333,6.25,14.32,2,0,2,0,0.04,1,32.832862,88.21008939,1
0.319788835,4.79155339,22.11,0,1,2,1,-0.003,0,,42.95545625,0
0.419877124,2.795084972,17.2,2,0,2,0,-0.002,4,10.36928392,125.5376778,0
